Date,AAPL,GOOG,NVDA,Nasdaq
2013-01-02,16.791181564331055,18.013729095458984,2.9362359046936035,3112.260009765625
2013-01-03,16.579242706298828,18.02419090270996,2.938544988632202,3100.570068359375
2013-01-04,16.117431640625,18.380355834960938,3.035496473312378,3101.659912109375
2013-01-07,16.022626876831055,18.30015754699707,2.9477779865264893,3098.81005859375
2013-01-08,16.065750122070312,18.264041900634766,2.883143186569214,3091.81005859375
2013-01-09,15.814661026000977,18.384092330932617,2.818509340286255,3105.81005859375
2013-01-10,16.010698318481445,18.467777252197266,2.823126792907715,3121.760009765625
2013-01-11,15.912525177001953,18.430667877197266,2.818509340286255,3125.6298828125
2013-01-14,15.345209121704102,18.013729095458984,2.8162014484405518,3117.5
2013-01-15,14.86107063293457,18.055572509765625,2.7654170989990234,3110.780029296875
2013-01-16,15.477940559387207,17.8129825592041,2.7908096313476562,3117.5400390625
2013-01-17,15.373647689819336,17.716594696044922,2.8277428150177,3136.0
2013-01-18,15.29168701171875,17.546979904174805,2.8092763423919678,3134.7099609375
2013-01-22,15.437562942504883,17.506132125854492,2.795426845550537,3143.179931640625
2013-01-23,15.7201566696167,18.46827507019043,2.8000433444976807,3153.669921875
2013-01-24,13.777809143066406,18.784839630126953,2.8138926029205322,3130.3798828125
2013-01-25,13.45301342010498,18.771390914916992,2.864677667617798,3149.7099609375
2013-01-28,13.757315635681152,18.698165893554688,2.910844564437866,3154.300048828125
2013-01-29,14.015440940856934,18.771638870239258,2.8485183715820312,3153.659912109375
2013-01-30,13.971397399902344,18.775375366210938,2.843900680541992,3142.31005859375
2013-01-31,13.93041706085205,18.821701049804688,2.8300516605377197,3142.1298828125
2013-02-01,13.873226165771484,19.31759262084961,2.8554434776306152,3179.10009765625
2013-02-04,13.52763557434082,18.904640197753906,2.8069677352905273,3131.169921875
2013-02-05,14.002288818359375,19.07201385498047,2.8716018199920654,3171.580078125
2013-02-06,13.987306594848633,19.182350158691406,2.8485183715820312,3168.47998046875
2013-02-07,14.403200149536133,19.27649688720703,2.8369767665863037,3165.1298828125
2013-02-08,14.611150741577148,19.560930252075195,2.8554434776306152,3193.8701171875
2013-02-11,14.76341438293457,19.487455368041992,2.887760639190674,3192.0
2013-02-12,14.39335823059082,19.444616317749023,2.8692941665649414,3186.489990234375
2013-02-13,14.36598014831543,19.498414993286133,2.8554434776306152,3196.8798828125
2013-02-14,14.353060722351074,19.621952056884766,2.938544988632202,3198.659912109375
2013-02-15,14.155261039733887,19.748228073120117,2.938544988632202,3192.030029296875
2013-02-19,14.150030136108398,20.09592628479004,2.8993024826049805,3213.590087890625
2013-02-20,13.807344436645508,19.737518310546875,2.8577518463134766,3164.409912109375
2013-02-21,13.721525192260742,19.813982009887695,2.8369767665863037,3131.489990234375
2013-02-22,13.86764144897461,19.918092727661133,2.890069007873535,3161.820068359375
2013-02-25,13.62123966217041,19.69542694091797,2.839284658432007,3116.25
2013-02-26,13.811038970947266,19.679485321044922,2.87296199798584,3129.64990234375
2013-02-27,13.675688743591309,19.919836044311523,2.926379442214966,3162.260009765625
2013-02-28,13.57817554473877,19.955202102661133,2.9403140544891357,3160.18994140625
2013-03-01,13.241950035095215,20.079486846923828,2.951927423477173,3169.739990234375
2013-03-04,12.921414375305176,20.46080780029297,2.9403140544891357,3182.030029296875
2013-03-05,13.262558937072754,20.88671112060547,2.9728307723999023,3224.1298828125
2013-03-06,13.093987464904785,20.706886291503906,2.970508098602295,3222.3701171875
2013-03-07,13.245331764221191,20.737272262573242,2.963540554046631,3232.090087890625
2013-03-08,13.280402183532715,20.710372924804688,2.9774749279022217,3244.3701171875
2013-03-11,13.469584465026855,20.792564392089844,2.9496054649353027,3252.8701171875
2013-03-12,13.17919635772705,20.612987518310547,2.958895444869995,3242.320068359375
2013-03-13,13.17673397064209,20.555702209472656,2.958895444869995,3245.1201171875
2013-03-14,13.304397583007812,20.461803436279297,2.9612176418304443,3258.929931640625
2013-03-15,13.647698402404785,20.28148078918457,2.9356698989868164,3249.070068359375
2013-03-18,14.01867961883545,20.11933708190918,2.9147675037384033,3237.590087890625
2013-03-19,13.980843544006348,20.207258224487305,2.896186351776123,3229.10009765625
2013-03-20,13.906707763671875,20.29169273376465,2.9310240745544434,3254.18994140625
2013-03-21,13.926704406738281,20.205764770507812,2.884575366973877,3222.60009765625
2013-03-22,14.20909309387207,20.18210220336914,2.8985092639923096,3245.0
2013-03-25,14.260465621948242,20.165414810180664,2.8822519779205322,3235.300048828125
2013-03-26,14.185406684875488,20.234655380249023,2.9031548500061035,3252.47998046875
2013-03-27,13.906707763671875,19.991567611694336,2.9379923343658447,3256.52001953125
2013-03-28,13.616933822631836,19.780607223510742,2.97979736328125,3267.52001953125
2013-04-01,13.193964004516602,19.954954147338867,2.8822519779205322,3239.169921875
2013-04-02,13.221034049987793,20.250097274780273,2.8520591259002686,3254.860107421875
2013-04-03,13.288708686828613,20.079736709594727,2.8172216415405273,3218.60009765625
2013-04-04,13.157355308532715,19.80252456665039,2.8450915813446045,3224.97998046875
2013-04-05,13.01831340789795,19.50314712524414,2.893864631652832,3203.860107421875
2013-04-08,13.110904693603516,19.298912048339844,2.8868966102600098,3222.25
2013-04-09,13.134591102600098,19.36865234375,2.933347463607788,3237.860107421875
2013-04-10,13.402525901794434,19.68073272705078,2.97979736328125,3297.25
2013-04-11,13.36069107055664,19.685962677001953,2.965862512588501,3300.159912109375
2013-04-12,13.221339225769043,19.677494049072266,3.0401830673217773,3294.949951171875
